Temperature,Energy,Magnetization
0.001,-6.009706999999937,189.0
52.63252631578947,-6.013013499999935,189.0
105.26405263157895,-5.989824999999938,188.3
157.89557894736842,-6.004259999999935,188.8
210.5271052631579,-5.935173499999937,186.76
263.15863157894734,-5.839405999999939,182.57999999999998
315.7901578947368,-5.520231499999943,170.85000000000002
368.4216842105263,-5.427035999999946,169.32
421.05321052631575,-4.430002999999962,120.93
473.6847368421052,-3.7408744999999737,83.25999999999999
526.3162631578947,-2.9046464999999886,20.4
578.9477894736842,-3.0845314999999855,15.649999999999999
631.5793157894736,-2.658430999999992,44.199999999999996
684.210842105263,-2.1489379999999993,4.48
736.8423684210526,-2.306449499999998,14.98
789.4738947368421,-1.961934499999999,24.84
842.1054210526315,-2.119359000000001,40.769999999999996
894.7369473684209,-2.0818630000000007,22.98
947.3684736842105,-1.8413885000000025,17.52
1000.0,-1.577928500000002,5.75
